,College_Name,Location,State,Course,Rating,Reviews,Course_Fee
0,IIT Madras - Indian Institute of Technology - [IITM],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 2,09,550"
1,Indian Maritime University - [IMU],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 1,05,000"
2,Saveetha Engineering College - [SEC],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 85,000"
3,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 85,000"
4,Saveetha School of Engineering - [SSE],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 45,000"
5,Dr. M.G.R. Educational and Research Institute,Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 80,000"
6,Easwari Engineering College - [EEC],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 55,000"
7,SRM Institute of Science and Technology - [SRMIST],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 2,50,000"
8,Bharath University - Bharath Institute of Higher Education and Research - [BIHER],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 1,50,000"
9,Madras Institute of Technology- [MIT],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 46,060"
10,Panimalar Engineering College,Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 60,000"
11,Jeppiaar Engineering College,Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 60,000"
12,S.A. Engineering College,Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 60,000"
13,"College of Engineering, Anna University - [CEG]",Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 31,060"
14,SSN College of Engineering - [SSNCE],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 50,000"
15,Sathyabama Institute of Science and Technology,Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 2,40,000"
16,Tamil Nadu Veterinary and Animal Sciences University - [TANUVAS],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 21,415"
17,Sri Sairam Engineering College,Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 50,000"
18,Rajalakshmi Engineering College - [REC],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 50,000"
19,Sri Sairam Institute of Technology - [SSIT],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 2,02,000"
20,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 55,000"
21,Indian Institute of Information Technology Design & Manufacturing - [IIITDM],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 1,35,100"
22,Vellore Institute of Technology - [VIT],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 1,98,000"
23,"Vels Institute of Science, Technology & Advanced Studies",Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 2,87,250"
24,Academy of Maritime Education and Training University - [AMET],Chennai, Tamil Nadu,,8.7,246,
25,Velammal Engineering College - [VEC],Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 65,000"
26,KCG College Of technology,Chennai, Tamil Nadu,BE/B.Tech,8.7,246,"₹ 50,000"
27,Central Institute of Petrochemicals Engineering & Technology - [CIPET],Chennai, Tamil Nadu,Polytechnic,8.7,246,"₹ 41,550"
28,IIT Hyderabad - Indian Institute of Technology - [IITH],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 2,23,000"
29,Jawaharlal Nehru Technological University - [JNTUH],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,19,213"
30,Chaitanya Bharathi Institute of Technology - [CBIT],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,86,733"
31,Institute of Aeronautical Engineering - [IARE],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,10,000"
32,Vardhaman College of Engineering - [VCE],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,25,000"
33,Vasavi College of Engineering,Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,30,000"
34,K L University - [KLH],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 2,65,000"
35,Mahatma Gandhi Institute of Technology - [MGIT],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,45,976"
36,Indian Institute of Chemical Technology - [IICT],Hyderabad, Telangana,,8.6,90,
37,GITAM,Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 3,29,500"
38,St Martin's Engineering College - [SMEC],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,00,000"
39,Keshav Memorial Institute of Technology - [KMIT],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,11,500"
40,Matrusri Engineering College,Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,05,000"
41,Sphoorthy Engineering College - [SEC],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 72,000"
42,Bhoj Reddy Engineering College for Women,Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 75,000"
43,International Institute of Information Technology - [IIIT],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 3,30,000"
44,"University College of Engineering, Osmania University - [UCE]",Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 35,000"
45,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,31,000"
46,BV Raju Institute of Technology - [BVRIT],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,20,000"
47,Anurag University,Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 2,50,000"
48,Gokaraju Rangaraju Institute of Engineering and Technology [GRIET],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,40,000"
49,Birla Institute of Technology and Science - [BITS],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 4,23,475"
50,Malla Reddy Engineering College - [MREC],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,03,000"
51,Sreenidhi Institute of Science and Technology - [SNIST],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,30,000"
52,Mahindra University,Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 4,70,000"
53,MLR Institute of Technology - [MLRIT],Hyderabad, Telangana,BE/B.Tech,8.6,90,"₹ 1,15,000"
